Estacao;Data;Hora;Temp Comp Media;
83587;01/01/2019;0000;22.1;
83587;02/01/2019;0000;24.86;
83587;03/01/2019;0000;25.18;
83587;04/01/2019;0000;22.08;
83587;05/01/2019;0000;24.96;
83587;06/01/2019;0000;26.18;
83587;07/01/2019;0000;26.22;
83587;08/01/2019;0000;25.06;
83587;09/01/2019;0000;23.82;
83587;10/01/2019;0000;24.38;
83587;11/01/2019;0000;24.96;
83587;12/01/2019;0000;25.7;
83587;13/01/2019;0000;24.86;
83587;14/01/2019;0000;25.6;
83587;15/01/2019;0000;26.46;
83587;16/01/2019;0000;26.66;
83587;17/01/2019;0000;25.62;
83587;18/01/2019;0000;26.82;
83587;19/01/2019;0000;27.1;
83587;20/01/2019;0000;25.48;
83587;21/01/2019;0000;26.02;
83587;22/01/2019;0000;26.86;
83587;23/01/2019;0000;26.22;
83587;24/01/2019;0000;25.76;
83587;25/01/2019;0000;24.78;
83587;26/01/2019;0000;23.4;
83587;27/01/2019;0000;25.02;
83587;28/01/2019;0000;26.08;
83587;29/01/2019;0000;27.02;
83587;30/01/2019;0000;27.06;
83587;31/01/2019;0000;27.58;
83587;01/02/2019;0000;27.44;
83587;02/02/2019;0000;27.66;
83587;03/02/2019;0000;28.78;
83587;04/02/2019;0000;24.14;
83587;05/02/2019;0000;23.88;
83587;06/02/2019;0000;21.68;
83587;07/02/2019;0000;21.18;
83587;08/02/2019;0000;24.26;
83587;09/02/2019;0000;24.98;
83587;10/02/2019;0000;25.8;
83587;11/02/2019;0000;25.88;
83587;12/02/2019;0000;26.12;
83587;13/02/2019;0000;22.98;
83587;14/02/2019;0000;22.38;
83587;15/02/2019;0000;22.24;
83587;16/02/2019;0000;21.78;
83587;17/02/2019;0000;21.42;
83587;18/02/2019;0000;22.24;
83587;19/02/2019;0000;23.84;
83587;20/02/2019;0000;25.46;
83587;21/02/2019;0000;22.48;
83587;22/02/2019;0000;25.62;
83587;23/02/2019;0000;27.32;
83587;24/02/2019;0000;27.74;
83587;25/02/2019;0000;27.92;
83587;26/02/2019;0000;25.08;
83587;27/02/2019;0000;26;
83587;28/02/2019;0000;23.94;
83587;01/03/2019;0000;22.98;
83587;02/03/2019;0000;22;
83587;03/03/2019;0000;24.44;
83587;04/03/2019;0000;24.28;
83587;05/03/2019;0000;24.48;
